CODGEO,LIBGEO,APL_MEDECINS,Pop_standardisee,CLASSE_ACCESSIBILITE
01001,L'Abergement-Clémenciat,1.942,838.154,Faible
01002,L'Abergement-de-Varey,2.376,255.723,Faible
01004,Ambérieu-en-Bugey,3.083,14575.887,Moyenne
01005,Ambérieux-en-Dombes,3.706,1852.496,Élevée
01006,Ambléon,0.889,121.314,Très faible
01007,Ambronay,3.421,2730.746,Élevée
01008,Ambutrix,3.135,727.545,Moyenne
01009,Andert-et-Condon,3.834,338.529,Élevée
01010,Anglefort,2.035,1088.41,Faible
01011,Apremont,1.598,372.436,Très faible
01012,Aranc,1.131,329.977,Très faible
01013,Arandas,0.385,147.71,Très faible
01014,Arbent,2.29,3450.563,Faible
01015,Arboys en Bugey,2.739,687.064,Moyenne
01016,Arbigny,1.932,453.487,Faible
01017,Argis,1.154,439.666,Très faible
01019,Armix,0.0,27.866,Très faible
01021,Ars-sur-Formans,1.609,1437.154,Très faible
01022,Artemare,3.183,1244.782,Moyenne
01023,Asnières-sur-Saône,1.228,78.061,Très faible
01024,Attignat,3.395,3293.407,Élevée
01025,Bâgé-Dommartin,2.804,3925.809,Moyenne
01026,Bâgé-le-Châtel,3.498,1035.214,Élevée
01027,Balan,3.342,2373.769,Élevée
01028,Baneins,1.852,600.756,Très faible
01029,Beaupont,2.691,689.188,Moyenne
01030,Beauregard,3.519,800.092,Élevée
01031,Bellignat,2.979,3562.398,Moyenne
01032,Béligneux,1.733,3221.476,Très faible
01033,Valserhône,1.912,15820.303,Très faible
01034,Belley,3.715,9691.409,Élevée
01035,Belleydoux,3.258,310.258,Élevée
01036,Valromey-sur-Séran,2.914,1427.953,Moyenne
01037,Bénonces,0.797,311.878,Très faible
01038,Bény,2.548,768.385,Faible
01040,Béréziat,2.164,458.941,Faible
01041,Bettant,3.176,749.893,Moyenne
01042,Bey,2.464,279.994,Faible
01043,Beynost,2.996,4797.941,Moyenne
01044,Billiat,1.028,592.826,Très faible
01045,Birieux,3.349,263.547,Élevée
01046,Biziat,1.795,858.847,Très faible
01047,Blyes,3.258,1181.287,Élevée
01049,La Boisse,3.245,3252.704,Élevée
01050,Boissey,1.495,363.14,Très faible
01051,Bolozon,0.477,98.384,Très faible
01052,Bouligneux,3.027,348.77,Moyenne
01053,Bourg-en-Bresse,3.201,42370.862,Élevée
01054,Bourg-Saint-Christophe,2.176,1406.62,Faible
01056,Boyeux-Saint-Jérôme,0.693,356.723,Très faible
01057,Boz,1.664,492.623,Très faible
01058,Brégnier-Cordon,1.169,815.442,Très faible
01060,Brénod,1.256,551.56,Très faible
01061,Brens,3.499,1119.574,Élevée
01062,Bressolles,2.206,936.615,Faible
01063,Brion,2.969,585.203,Moyenne
01064,Briord,2.237,1019.2,Faible
01065,Buellas,2.436,1853.983,Faible
01066,La Burbanche,0.229,92.837,Très faible
01067,Ceignes,1.702,246.592,Très faible
01068,Cerdon,1.94,801.053,Faible
01069,Certines,3.47,1450.724,Élevée
01071,Cessy,2.573,4886.694,Faible
01072,Ceyzériat,3.567,3299.356,Élevée
01073,Ceyzérieu,4.835,1026.237,Très élevée
01074,Chalamont,2.692,2549.656,Moyenne
01075,Chaleins,2.303,1344.363,Faible
01076,Chaley,0.962,140.286,Très faible
01077,Challes-la-Montagne,0.794,193.536,Très faible
01078,Challex,1.35,1610.759,Très faible
01079,Champagne-en-Valromey,2.024,927.112,Faible
01080,Champdor-Corcelles,1.697,653.173,Très faible
01081,Champfromier,1.085,729.561,Très faible
01082,Chanay,0.642,573.426,Très faible
01083,Chaneins,2.215,946.31,Faible
01084,Chanoz-Châtenay,1.733,888.433,Très faible
01085,La Chapelle-du-Châtelard,2.761,376.873,Moyenne
01087,Charix,0.442,281.039,Très faible
01088,Charnoz-sur-Ain,2.71,864.635,Moyenne
01089,Château-Gaillard,4.295,2151.765,Très élevée
01090,Châtenay,1.455,360.443,Très faible
01092,Châtillon-la-Palud,3.247,1603.343,Élevée
01093,Châtillon-sur-Chalaronne,1.549,5430.801,Très faible
01094,Chavannes-sur-Reyssouze,1.52,775.402,Très faible
01095,Nivigne et Suran,2.379,820.341,Faible
01096,Chaveyriat,1.951,1008.787,Faible
01098,Chazey-Bons,3.834,1178.467,Élevée
01099,Chazey-sur-Ain,3.723,1575.134,Élevée
01100,Cheignieu-la-Balme,2.009,146.19,Faible
01101,Chevillard,0.851,152.111,Très faible
01102,Chevroux,1.882,920.367,Très faible
01103,Chevry,2.262,2071.925,Faible
01104,Chézery-Forens,0.637,435.797,Très faible
01105,Civrieux,3.894,1815.496,Élevée
01106,Cize,1.901,178.491,Très faible
01107,Cleyzieu,0.378,144.397,Très faible
01108,Coligny,3.089,1332.101,Moyenne
01109,Collonges,1.926,2036.194,Très faible
01110,Colomieu,0.791,165.402,Très faible
01111,Conand,0.757,133.912,Très faible
01112,Condamine,2.119,439.373,Faible
01113,Condeissiat,1.696,788.495,Très faible
01114,Confort,1.769,730.529,Très faible
01115,Confrançon,2.336,1266.889,Faible
01116,Contrevoz,2.4,509.942,Faible
01117,Conzieu,0.791,142.607,Très faible
01118,Corbonod,1.142,1322.533,Très faible
01121,Corlier,1.377,112.451,Très faible
01123,Cormoranche-sur-Saône,3.559,1147.855,Élevée
01124,Cormoz,2.26,709.825,Faible
01125,Corveissiat,2.006,586.172,Faible
01127,Courmangoux,2.483,519.022,Faible
01128,Courtes,2.109,299.585,Faible
